city,row_in_file,id,name,address_he,address_en_current,issue,lat,lon
afula,75,afula_school_4,בית ספר בן-צבי,"האירוסים 4, עפולה","אירוס 4, Afula, Israel",English field still contains Hebrew,32.617982,35.29564999999999
afula,102,afula_public_12,אצולת העמק,"בגין 67, עפולה","Sderot Menachem Begin 80, Afula",house number differs (67 vs 80),32.6032252,35.2987434
afula,105,afula_public_15,היכל התרבות,"חטיבה 9, עפולה","Hativa TeSha St, Afula, Israel",no house number in English,32.6161168,35.2888106
akko,20,akko_20,מקלט - קיבוץ גלויות 4,"קיבוץ גלויות 4, עכו","Kibuts Galuyot St, Acre, Israel",no house number in English,32.92666,35.084852
ariel,17,אריאל-17,מקלט 17,רחוב השקמה 8,"Hadekel St 47, Ari'el",house number differs (8 vs 47),32.1069658,35.1746775
ariel,25,אריאל-25,מקלט 25,דרך הציונות 18,"Ha'Atsma'ut/Efron Road, Ari'el",no house number in English,32.1046376,35.1745145
ashdod,1,אשדוד-1,השקמה,השקמה 10,"225, Bnei Darom",house number differs (10 vs 225),31.8180563,34.690693
ashdod,4,אשדוד-4,כוכב הים,מרזוק 17,"Moshe Marzuk and Shmuel Ezer St 10, Ashdod",house number differs (17 vs 10),31.8094,34.6455
ashkelon,17,ashkelon-17,מקלט - הלילך 13,"הלילך 13, אשקלון","Ha-Lilakh St, Ashkelon",no house number in English,31.6763918,34.5677982
ashkelon,19,ashkelon-19,מקלט - האשל 74,"האשל 74, אשקלון","HaEshel St, Ashkelon",no house number in English,31.6786884,34.5662912
ashkelon,23,ashkelon-23,מקלט - בן צבי 268,"בן צבי 268, אשקלון","Ashkelon Academic College / Itzhak Ben Zvi, Ashkelon, Israel",no house number in English,31.669028,34.570348
ashkelon,77,ashkelon-77,מקלט - כל ישראל חברים 9,"כל ישראל חברים 9, אשקלון","Gilad/Kol Israel Haverim, Ashkelon, Israel",no house number in English,31.6792528,34.5841332
ashkelon,88,ashkelon-88,מקלט - בן זומא 153,"בן זומא 153, אשקלון","Ben Zoma St, Ashkelon",no house number in English,31.6616028,34.5691542
ashkelon,92,ashkelon-92,מקלט - דיבולט 12,"דיבולט 12, אשקלון","Dibulet St, Ashkelon",no house number in English,31.6626935,34.5637378
ashkelon,94,ashkelon-94,מקלט - הבעל שם טוב 307,"הבעל שם טוב 307, אשקלון","Ba'al Shem Tov St, Ashkelon",no house number in English,31.66043,34.563611
ashkelon,106,ashkelon-106,מקלט - ארצ'י שרמן 4,"ארצ'י שרמן 4, אשקלון","Archie Sherman St, Ashkelon",no house number in English,31.6563288,34.5664281
atlit,4,atlit_9,מקלט 9,"הארגמן 34, עתלית","Ha-Argaman St, Atlit, Israel",no house number in English,32.6814438,34.940076
atlit,5,atlit_10,מקלט 10,"הארגמן 20, עתלית","Ha-Argaman St, Atlit, Israel",no house number in English,32.6814438,34.940076
atlit,6,atlit_11,מקלט 11,"הארגמן 10, עתלית","Ha-Argaman St, Atlit, Israel",no house number in English,32.6814438,34.940076
azor,9,אזור-9,מקלט אנליביץ,אנליביץ 6,"Anielewicz St, Azor",no house number in English,32.0240221,34.8112926
bat-yam,19,בת ים-19,"ממ""ד צפוני",קרוואנים 1,"Yoseftal/HaRav Nissenbaum, Bat Yam",no house number in English,32.0151439,34.752885
bat-yam,20,בת ים-20,"ממ""ד אמצעי",קרוואנים 1,"Yoseftal/HaRav Nissenbaum, Bat Yam",no house number in English,32.0151439,34.752885
bat-yam,21,בת ים-21,"ממ""ד דרומי",קרוואנים 1,"Yoseftal/HaRav Nissenbaum, Bat Yam",no house number in English,32.0151439,34.752885
bat-yam,49,בת ים-49,יעד,נחום ניר 25,"Yoseftal/HaRav Nissenbaum, Bat Yam",no house number in English,32.0151439,34.752885
beer-yaakov,9,באר-יעקב-9,מקלט ק1,אש נס 17,Be'er Ya'akov,no house number in English,31.943507,34.83904
beer-yaakov,10,באר-יעקב-10,מקלט ק2,שבטי 2,Be'er Ya'akov,no house number in English,31.943507,34.83904
beit-shemesh,22,beit_shemesh_10,מקלט 10 - שכונת הגפן,"שביל השקד 38, בית שמש","Shvil HaShaked, Beit Shemesh, Israel",no house number in English,31.7463435,34.9892234
beit-shemesh,51,beit_shemesh_m11,מיגונית 11,"אביי 28, בית שמש","אביי 28, Beit Shemesh, Israel",English field still contains Hebrew,31.7084121,34.9699122
beit-shemesh,52,beit_shemesh_m12,מיגונית 12,"רב המנונא 11, בית שמש","Rav Hamnuna/Abaye, Bet Shemesh",no house number in English,31.712094,34.9678129
binyamina,27,בנימינה-27,מקלט 27,בית ספר גבע,,missing English address,32.5174593,35.0041377
bnei-brak,2,בני ברק-2,אורליאן 25,אורליאן 25,Bnei Brak,no house number in English,32.084932,34.835226
bnei-brak,3,בני ברק-3,בית כנסת זכרון מאיר,אורליאן 3,Bnei Brak,no house number in English,32.084932,34.835226
bnei-brak,9,בני ברק-9,בית כנסת מרוקאי,נחשוני 3,Bnei Brak,no house number in English,32.084932,34.835226
bnei-brak,11,בני ברק-11,בית כנסת גורדון,גורדון 6,"ליב, J. L. Gordon St 6, Tel Aviv-Jaffa",English field still contains Hebrew,32.0825669,34.7693129
bnei-brak,30,בני ברק-30,כיתות,פובורסקי 11,Bnei Brak,no house number in English,32.084932,34.835226
bnei-brak,31,בני ברק-31,כיתות ואולם ספורט,תורה ועבודה 2,"Tora Va'Avoda St, Rishon LeZion",no house number in English,31.9895258,34.7853787
bnei-brak,37,בני ברק-37,כיתה ושירותים,מימון 31,Bnei Brak,no house number in English,32.084932,34.835226
bnei-brak,56,בני ברק-56,חדר התעמלות,נורוק 31,"Noruk St, Herzliya",no house number in English,32.1548687,34.8407408
dimona,20,דימונה-20,הסנהדרין 276,הסנהדרין 276,Dimona,no house number in English,31.069419,35.033363
dimona,23,דימונה-23,בר כוכבא 217,בר כוכבא 217,"Bar Kochva St, Dimona",no house number in English,31.064571,35.0362883
dimona,30,דימונה-30,הנשיא 46,הנשיא 46,Dimona,no house number in English,31.069419,35.033363
dimona,69,דימונה-69,קלעת נמרוד 26,קלעת נמרוד 26,"Kal'at Nimrod St, Dimona",no house number in English,31.05426,35.0354484
eilat,9,eilat_ב__1,מקלט ב'-1 - שד' ירושליים השלמה 34,שד' ירושליים השלמה 34,"ירושלים השלמה 34, Eilat, Israel",English field still contains Hebrew,29.563279,34.945986
eilat,10,eilat_ב__10,מקלט ב'-10 - מישר 4,מישר 4,"מלון פירסט קלאב, מישר 4, אילת, Israel",English field still contains Hebrew,29.560483,34.9503113
eilat,22,eilat_ב__9,מקלט ב'-9 - מישר 4,מישר 4,"מלון פירסט קלאב, מישר 4, אילת, Israel",English field still contains Hebrew,29.560483,34.9503113
eilat,23,eilat_ג__11,מקלט ג'-11 - מרווה 31,מרווה 31,"Marva St, Eilat, Israel",no house number in English,29.5590744,34.9453609
